label	description
0	Buenos días Solicitamos que por favor validen porqué el sistema en algunas ocasiones no esta permitiendo confirmar las facturas de compra realizadas, si no que deben hacerlo por tablas. Quedamos atentos.
0	MODIFICAR DOCUMENTO DE UN PACIENTE TIENIENDO EN CUENTA QUE LA HISTORIA CLINICA ESTA FACTURADA
0	ADMISION 521397  AGREGAR EVOLUCION ADMISION 521520  MODIFICAR EXAMEN FISICO Y CAMBIAR USUARIO DEL NEDICO EN TURNO
0	523011 522999 CORREGIR EVOLUCIONES
0	Buen dia, Se solicita que el sistema obligue al médico turno  a cambiar el centro de costo o la ubicación donde se encuentra el paciente dia dia,  al momento de guardar o copiar evoluciones, con el fin de que el sistema calcule correctamente  la base para la liquidación de los copagos. Agradecemos, su colaboración de forma prioritaria para este requerimiento.
0	"* LAS ADMISIONES SIGIENTES NO MUESTRAN EL CONTENIDO DE LECTURA POR EL RADIOLOGO EN TURNO "" 7715, 7702,7835,7503,7510,7575,7568. * LA DAMISION 7871 MUSTRA EL CONTENIDO DE LA LECTURA POR EL RADIOLOGO EN TURNO MAS NO MUESTRA QUE TIPO DE ESTUDIO SE REALIZO AL PACIENTE."
0	NO PERMITE IMPRIMIR INFORME
0	Buenos días Por favor validar el porque aparece inhabilitado el botón de impresión (en el registro de oxigeno).
0	MODIFICAR EVOLUCIONES
0	ADMISIONES DE HISTORIAS CLÍNICAS LAS CUALES  PRESENTAN INCONSISTENCIAS  EN DESCRIPCION REAL DE ECHOS DE ACCIDENTE DE TRANSITO  LAS ADMISIONES SON 526854- 526856  Y NUMERO DE TRIAGE  EN LA ADMISION  526860
0	HISTORIAS CLÍNICAS CON INCONSISTENCIAS EN EVOLUCIONES MEDICAS Y  NUMERO DE TRIAGE LAS CUALES SON 527069-526854-526856-526728-526976.
0	CORRECCION EN HC Y ORDENES MEDICAS   EN ADMISIONES 526867 Y 526870
0	CORREGIR FECHAS DE LECTURAS
0	HISTORIAS CON ERROR EN ORDENES MEDICAS Y NUMERO DE TRIAGE EN HOSTORIA CLINICA LAS ADMISIONES SON LAS SIGUIENTES: 526870 526867 528379
0	MEDICO DE TURNO NO REALIZA ORDEN MEDICA COMPLETA EN ADMISION 529214
0	HISTORIAS CLÍNICAS LAS CUALES ESTÁN PENDIENTES  POR CORREGIR ORDEN MEDICA Y EVOLUCIONES EN LAS MISMAS  LAS ADMISIONES SON 529480  Y LA 529527.
0	HISTORIAS CLÍNICAS CON ORDEN MEDICA INCOMPLETA Y HC POR AGREGAR DESCRIPCIÓN DE UN PROCEDIMIENTO LAS ADMISIONES SON  529932   Y 529480.
0	1001683301 DARLIN CELENE JORDAN 11 FEBRERO 2019 USUARIA ATENDIDA ESTE DIA POR LA DOCTORA DAYANA ROMERO QUIEN PUSO EN LA HISTORIA LA FECHA MAL INGRESADA
0	BUEN DÍA ,FAVOR COLABORARME  YA QUE AL CONFIRMAR CITAS DE CONSULTA EXTERNA Y INGRESAR EL CENTRO DE COSTO EL CUAL ES UNO SE HACE BIEN TODO EL PROCEDIMIENTO PERO DESPUÉS ME INGRESO A LA ADMISIÓN Y SALE CENTRO DE COSTO 1 PERO SALE SALA DE PARO NO SE QUE PASA PERO EVIDENTEMENTE TIENE UN ERROR
0	CAMBIAR FECHA EN ODONTOGRAMA
0	Buen dia Se solicita cambiar centro de costo de las siguientes cargos de facturación, para una correcta liquidación de copagos: 35012, 35011, 3495, 35022, 35047, 35055, 35056, 35098, 35124, 35128, 35129, 35152, 35167, 35170, 35192, 35216, 35261, 35269, 35270, 35302, 35228. Gracias por su atencion, esperamos una pronta y positiva respuesta
0	"Cordial saludo, Solicitamos revisar la factura NAC 622, ya que el sistema no permite ingresar la glosas, ya que ""Existe un pago realizado a esta factura con una fecha superior a la fecha con que se está registrando para esta objeción de glosa"" Gracias por su atencion, esperamos una pronta y positiva respuesta."
0	HICTORIA CLINICA WLSON BRAVO GOMEZ  CON ADMISION 532288 LE FALTA ORGANIZAR EVOLUCION Y CORRECCION EN CONDUCTA A SEGUIR
0	eliminar radicados del modulo de auditoria
0	"DESBLOQUEAR ADMISION 9493 DE HIRUKO PORQUE FUE LEIDA POR RADIOLOGO DE TURO ""ALFREDO NAVARRO UCROS RADIOLOGO DE TURNO"""
0	Buenos días: Me permito solicitarle soporte para cambiar en el centro de costo del día 14 marzo 2019, ya que al momento de facturar champú se digitó unidad de diversos y es unidad de mercado. Gracias por su acostumbrada colaboración.
